run,A2,HerbalA_outside_A2,VM_outside_HerbalA,Unattested,VM_total,Outside_A2_total,Generated_types,Hapax,A2_type_rate,HerbalA_type_rate,VM_type_rate
2040,0.569023569023569,0.18855218855218855,0.04377104377104377,0.19865319865319866,0.8013468013468014,0.23232323232323232,189.0,140.0,0.38095238095238093,0.6243386243386243,0.6931216931216931
2041,0.5454545454545454,0.13468013468013468,0.05387205387205387,0.265993265993266,0.734006734006734,0.18855218855218855,192.0,143.0,0.3802083333333333,0.546875,0.6145833333333334
2042,0.5286195286195287,0.18181818181818182,0.04713804713804714,0.24242424242424243,0.7575757575757576,0.22895622895622897,202.0,154.0,0.3811881188118812,0.594059405940594,0.6584158415841584
2043,0.5454545454545454,0.15151515151515152,0.06397306397306397,0.23905723905723905,0.7609427609427609,0.21548821548821548,193.0,141.0,0.37823834196891193,0.5854922279792746,0.6632124352331606
2044,0.5218855218855218,0.21212121212121213,0.05723905723905724,0.20875420875420875,0.7912457912457912,0.26936026936026936,188.0,136.0,0.3670212765957447,0.6170212765957447,0.6968085106382979
2045,0.5387205387205387,0.16835016835016836,0.037037037037037035,0.2558922558922559,0.7441077441077442,0.2053872053872054,190.0,142.0,0.35789473684210527,0.5578947368421052,0.6105263157894737
2046,0.5622895622895623,0.1414141414141414,0.04040404040404041,0.2558922558922559,0.7441077441077442,0.18181818181818182,192.0,143.0,0.359375,0.5625,0.625
2047,0.5723905723905723,0.1750841750841751,0.04377104377104377,0.20875420875420875,0.7912457912457912,0.21885521885521886,184.0,134.0,0.3804347826086957,0.6304347826086957,0.6902173913043478
2048,0.5521885521885522,0.18855218855218855,0.04377104377104377,0.21548821548821548,0.7845117845117845,0.23232323232323232,189.0,136.0,0.3862433862433862,0.6190476190476191,0.671957671957672
2049,0.5151515151515151,0.1717171717171717,0.04713804713804714,0.265993265993266,0.734006734006734,0.21885521885521886,199.0,157.0,0.3417085427135678,0.5728643216080402,0.628140703517588
2050,0.5454545454545454,0.14814814814814814,0.04040404040404041,0.265993265993266,0.734006734006734,0.18855218855218855,198.0,147.0,0.3838383838383838,0.5707070707070707,0.6212121212121212
2051,0.5521885521885522,0.16835016835016836,0.05387205387205387,0.2255892255892256,0.7744107744107744,0.2222222222222222,189.0,135.0,0.35978835978835977,0.5925925925925926,0.671957671957672
2052,0.5993265993265994,0.16161616161616163,0.06060606060606061,0.17845117845117844,0.8215488215488216,0.2222222222222222,180.0,129.0,0.4166666666666667,0.65,0.7277777777777777
2053,0.5488215488215489,0.1750841750841751,0.030303030303030304,0.24579124579124578,0.7542087542087542,0.2053872053872054,196.0,149.0,0.3979591836734694,0.6071428571428571,0.6479591836734694
2054,0.5521885521885522,0.1750841750841751,0.03367003367003367,0.23905723905723905,0.7609427609427609,0.20875420875420875,183.0,126.0,0.3825136612021858,0.5956284153005464,0.6502732240437158
