run,word_types,hapax_legomena,mean_word_length,word_length_sd,one_character_rate,eight_plus_rate,bigram_jsd,trigram_jsd,word_boundary_jsd,paragraph_start_gallows,neutral_restart_gallows,dead_ends
674,183.0,129.0,3.9124579124579126,1.614041819688507,0.06397306397306397,0.010101010101010102,0.04321737394937885,0.10972105330071603,0.10246827582271345,1.0,0.03125,0.0
675,181.0,126.0,4.033670033670034,1.5908654439704166,0.02356902356902357,0.020202020202020204,0.03603117663537664,0.10087626112013093,0.08432584882997987,1.0,0.03125,0.0
676,186.0,129.0,4.057239057239057,1.6206027643923153,0.04377104377104377,0.016835016835016835,0.04711821155799031,0.1104960044804731,0.10869856184277724,1.0,0.03125,0.0
677,190.0,137.0,4.026936026936027,1.601540201215526,0.04713804713804714,0.010101010101010102,0.036454843903375375,0.1016597684503712,0.13264470074396956,1.0,0.03125,0.0
678,188.0,136.0,4.006734006734007,1.669680640431605,0.04713804713804714,0.020202020202020204,0.04020686232906807,0.09754588993424673,0.1184863332629989,1.0,0.03125,0.0
679,203.0,151.0,4.077441077441078,1.638364602205643,0.050505050505050504,0.006734006734006734,0.0336679598860838,0.09595454193989245,0.11516763291636573,1.0,0.09375,0.0
680,185.0,123.0,4.013468013468014,1.5869269457450599,0.04377104377104377,0.013468013468013467,0.03513078589420602,0.10837902562578948,0.08143140590319334,1.0,0.03125,0.0
681,197.0,146.0,4.127946127946128,1.6748667439209648,0.04377104377104377,0.02356902356902357,0.037594052041222605,0.09986543214583865,0.12153054007456157,1.0,0.0,0.0
682,193.0,142.0,4.08080808080808,1.6289268596253101,0.04713804713804714,0.003367003367003367,0.04196624577909836,0.10755977343285504,0.11869906284594585,1.0,0.0,0.0
683,186.0,133.0,3.993265993265993,1.5912074613763718,0.04713804713804714,0.013468013468013467,0.04061070813262695,0.11147533829189588,0.12493647816776776,1.0,0.03125,0.0
684,184.0,139.0,3.9696969696969697,1.6213301193723884,0.04377104377104377,0.003367003367003367,0.04231317551090837,0.10798069325905255,0.11993693568617173,1.0,0.03125,0.0
